code_commune,annee,trimestre,prix_m2_median,surface_median,nb_transactions,type_bien_mode,inflation,dist_gare_km,gares_1km,gares_2km,lat_commune,lon_commune,dist_metro_km,metros_500m,metros_1km,prix_m2_median_dvf,surface_median_dvf,nb_transactions_dvf,pieces_median,surface_terrain_median,lots_median,type_bien_mode_dvf
77002,2022.0,2.0,1732.9185520361991,94.5,2,maison,5.8999999999999995,7.398569056805502,0,0,48.74992449574485,3.13037636753678,41.60488985435476,0,0,150000.0,94.5,7.0,4.0,512.0,0.0,Maison
77002,2022.0,3.0,1672.5868725868727,125.0,5,maison,6.533333333333334,7.398569056805502,0,0,48.74992449574485,3.13037636753678,41.60488985435476,0,0,352000.0,0.0,19.0,0.0,457.5,0.0,Dépendance
77002,2022.0,4.0,2280.21978021978,160.0,7,maison,6.966666666666666,7.398569056805502,0,0,48.74992449574485,3.13037636753678,41.60488985435476,0,0,415000.0,11.0,17.0,0.5,2000.0,0.0,Dépendance
77002,2023.0,1.0,5200.0,15.0,2,maison,7.0,7.398569056805502,0,0,48.74992449574485,3.13037636753678,41.60488985435476,0,0,22200.0,15.0,5.0,0.0,6795.0,0.0,Maison
77002,2023.0,3.0,1572.670807453416,161.0,1,maison,5.5,7.398569056805502,0,0,48.74992449574485,3.13037636753678,41.60488985435476,0,0,253200.0,161.0,7.0,4.0,320.0,0.0,Maison
77002,2023.0,4.0,2039.9061032863851,98.0,2,appartement,4.166666666666667,7.398569056805502,0,0,48.74992449574485,3.13037636753678,41.60488985435476,0,0,319000.0,98.0,4.0,3.0,100.0,0.0,Appartement
77002,2024.0,2.0,1839.0804597701149,90.0,7,maison,2.5,7.398569056805502,0,0,48.74992449574485,3.13037636753678,41.60488985435476,0,0,155000.0,0.0,22.0,0.0,252.0,0.0,Dépendance
77002,2024.0,4.0,1909.090909090909,110.0,2,maison,1.7,7.398569056805502,0,0,48.74992449574485,3.13037636753678,41.60488985435476,0,0,6052.55,110.0,11.0,4.0,890.0,0.0,Maison
77002,2025.0,2.0,1442.3076923076924,104.0,1,maison,0.7999999999999999,7.398569056805502,0,0,48.74992449574485,3.13037636753678,41.60488985435476,0,0,150000.0,104.0,4.0,4.0,137.0,0.0,Maison
77002,2025.0,4.0,2082.84023668639,120.5,2,maison,,7.398569056805502,0,0,48.74992449574485,3.13037636753678,41.60488985435476,0,0,267125.0,72.0,6.0,5.0,462.0,0.0,Maison
77003,2021.0,3.0,3325.0,120.0,1,maison,2.1999999999999997,9.283197607747168,0,0,48.28823518025115,2.526250689541872,50.38538887137347,0,0,6500.0,120.0,12.0,4.0,114.5,0.0,Maison
