code_commune,annee,trimestre,prix_m2_median,surface_median,nb_transactions,type_bien_mode,inflation,lon_commune,lat_commune,dist_gare_km,gares_1km,gares_2km
75105,2022.0,3.0,12352.941176470587,35.0,107,appartement,6.533333333333334,,,,,
75105,2022.0,4.0,12312.83422459893,37.0,114,appartement,6.966666666666666,,,,,
75105,2023.0,1.0,12200.0,42.0,63,appartement,7.0,,,,,
75105,2023.0,2.0,12019.239130434782,36.0,107,appartement,6.066666666666666,,,,,
75105,2023.0,3.0,12382.59792626728,38.0,80,appartement,5.5,,,,,
75105,2023.0,4.0,11306.719367588932,38.5,88,appartement,4.166666666666667,,,,,
75105,2024.0,1.0,10903.181573802542,40.5,74,appartement,3.0,,,,,
75105,2024.0,2.0,10788.571428571428,45.0,76,appartement,2.5,,,,,
75105,2024.0,3.0,11756.661991584853,37.5,68,appartement,2.1,,,,,
75105,2024.0,4.0,11405.405405405405,46.0,91,appartement,1.7,,,,,
75105,2025.0,1.0,9421.625,24.5,12,appartement,1.2,,,,,
75105,2025.0,2.0,11176.280844155845,27.5,30,appartement,0.7999999999999999,,,,,
75105,2025.0,3.0,11042.944785276073,50.0,21,appartement,0.8500000000000001,,,,,
75105,2025.0,4.0,11297.67441860465,43.5,28,appartement,,,,,,
75106,2020.0,1.0,14159.090909090908,36.0,32,appartement,1.3666666666666665,,,,,
75106,2020.0,2.0,13829.787234042553,70.0,31,appartement,0.3333333333333333,,,,,
75106,2020.0,3.0,14237.47763864043,45.5,34,appartement,0.3666666666666667,,,,,
75106,2020.0,4.0,15127.765064836003,46.0,20,appartement,0.10000000000000002,,,,,
75106,2021.0,1.0,14395.121951219513,56.5,74,appartement,1.0,,,,,
75106,2021.0,2.0,14130.434782608696,48.0,69,appartement,1.7666666666666666,,,,,
75106,2021.0,3.0,14285.714285714286,58.0,77,appartement,2.1999999999999997,,,,,
75106,2021.0,4.0,14620.279146141216,56.0,58,appartement,3.3333333333333335,,,,,
75106,2022.0,1.0,14500.0,39.0,76,appartement,4.2,,,,,
75106,2022.0,2.0,13723.404255319148,45.0,85,appartement,5.8999999999999995,,,,,
75106,2022.0,3.0,14666.666666666666,57.0,101,appartement,6.533333333333334,,,,,
75106,2022.0,4.0,14000.0,52.0,83,appartement,6.966666666666666,,,,,
75106,2023.0,1.0,14777.777777777777,45.0,65,appartement,7.0,,,,,
75106,2023.0,2.0,13833.257986738998,50.0,66,appartement,6.066666666666666,,,,,
75106,2023.0,3.0,13901.136363636364,47.0,60,appartement,5.5,,,,,
75106,2023.0,4.0,13467.317073170732,47.5,86,appartement,4.166666666666667,,,,,
75106,2024.0,1.0,13451.984126984127,68.5,50,appartement,3.0,,,,,
75106,2024.0,2.0,12158.004158004158,54.0,76,appartement,2.5,,,,,
75106,2024.0,3.0,12311.918063314712,49.5,64,appartement,2.1,,,,,
75106,2024.0,4.0,13000.0,44.0,75,appartement,1.7,,,,,
75106,2025.0,1.0,12000.0,37.0,11,appartement,1.2,,,,,
75106,2025.0,2.0,12888.471177944863,44.0,30,appartement,0.7999999999999999,,,,,
75106,2025.0,3.0,15000.0,57.0,27,appartement,0.8500000000000001,,,,,
75106,2025.0,4.0,14149.0,39.0,26,appartement,,,,,,
75107,2020.0,1.0,12633.333333333334,51.0,37,appartement,1.3666666666666665,,,,,
75107,2020.0,2.0,13887.5,64.5,30,appartement,0.3333333333333333,,,,,
75107,2020.0,3.0,14193.548387096775,53.0,41,appartement,0.3666666666666667,,,,,
75107,2020.0,4.0,11531.791907514451,41.0,27,appartement,0.10000000000000002,,,,,
75107,2021.0,1.0,14429.655172413793,54.0,86,appartement,1.0,,,,,
75107,2021.0,2.0,13543.488372093023,60.0,87,appartement,1.7666666666666666,,,,,
75107,2021.0,3.0,14126.865671641792,61.0,109,appartement,2.1999999999999997,,,,,
75107,2021.0,4.0,14194.036300777872,59.0,88,appartement,3.3333333333333335,,,,,
75107,2022.0,1.0,14723.649538866932,60.5,86,appartement,4.2,,,,,
75107,2022.0,2.0,14110.169491525423,53.0,75,appartement,5.8999999999999995,,,,,
75107,2022.0,3.0,13612.90322580645,52.0,123,appartement,6.533333333333334,,,,,
75107,2022.0,4.0,11666.666666666666,92.0,165,appartement,6.966666666666666,,,,,
75107,2023.0,1.0,12828.35827664399,60.0,58,appartement,7.0,,,,,
75107,2023.0,2.0,12894.736842105263,60.0,69,appartement,6.066666666666666,,,,,
75107,2023.0,3.0,13508.887425938117,47.5,98,appartement,5.5,,,,,
75107,2023.0,4.0,13305.555555555555,77.0,86,appartement,4.166666666666667,,,,,
75107,2024.0,1.0,12630.0,35.0,44,appartement,3.0,,,,,
75107,2024.0,2.0,12032.258064516129,43.0,91,appartement,2.5,,,,,
75107,2024.0,3.0,12730.507099391481,53.0,80,appartement,2.1,,,,,
75107,2024.0,4.0,12637.797619047618,60.0,68,appartement,1.7,,,,,
75107,2025.0,1.0,12758.620689655172,38.0,13,appartement,1.2,,,,,
75107,2025.0,2.0,13466.666666666666,65.0,31,appartement,0.7999999999999999,,,,,
75107,2025.0,3.0,13690.369047619048,42.5,22,appartement,0.8500000000000001,,,,,
75107,2025.0,4.0,12941.176470588236,72.0,21,appartement,,,,,,
75108,2020.0,1.0,12055.110294117647,76.5,42,appartement,1.3666666666666665,,,,,
75108,2020.0,2.0,12196.815315315314,70.5,40,appartement,0.3333333333333333,,,,,
75108,2020.0,3.0,11320.754716981131,53.0,45,appartement,0.3666666666666667,,,,,
75108,2020.0,4.0,12697.860962566845,59.5,24,appartement,0.10000000000000002,,,,,
75108,2021.0,1.0,11464.285714285714,50.0,80,appartement,1.0,,,,,
75108,2021.0,2.0,12754.797979797979,72.5,80,appartement,1.7666666666666666,,,,,
75108,2021.0,3.0,11956.439393939394,81.5,82,appartement,2.1999999999999997,,,,,
75108,2021.0,4.0,11853.932584269663,62.0,71,appartement,3.3333333333333335,,,,,
75108,2022.0,1.0,12325.581395348838,47.0,61,appartement,4.2,,,,,
75108,2022.0,2.0,12456.060606060606,65.0,93,appartement,5.8999999999999995,,,,,
75108,2022.0,3.0,12519.23076923077,63.0,102,appartement,6.533333333333334,,,,,
75108,2022.0,4.0,12916.666666666666,80.0,95,appartement,6.966666666666666,,,,,
75108,2023.0,1.0,12923.076923076924,67.0,57,appartement,7.0,,,,,
75108,2023.0,2.0,11889.480381760339,70.0,74,appartement,6.066666666666666,,,,,
75108,2023.0,3.0,11027.777777777777,48.0,55,appartement,5.5,,,,,
75108,2023.0,4.0,11851.851851851852,69.0,79,appartement,4.166666666666667,,,,,
75108,2024.0,1.0,11122.815354559374,69.5,62,appartement,3.0,,,,,
75108,2024.0,2.0,11022.556390977443,59.0,71,appartement,2.5,,,,,
75108,2024.0,3.0,11169.679613388224,58.5,50,appartement,2.1,,,,,
75108,2024.0,4.0,9565.217391304348,60.0,127,appartement,1.7,,,,,
75108,2025.0,1.0,12884.864532019705,54.0,8,appartement,1.2,,,,,
75108,2025.0,2.0,11249.645390070922,72.0,39,appartement,0.7999999999999999,,,,,
75108,2025.0,3.0,11615.668603182621,82.0,28,appartement,0.8500000000000001,,,,,
75108,2025.0,4.0,11840.833333333334,73.0,43,appartement,,,,,,
75109,2020.0,1.0,12155.643564356436,47.0,45,appartement,1.3666666666666665,,,,,
75109,2020.0,2.0,11428.57142857143,54.0,55,appartement,0.3333333333333333,,,,,
75109,2020.0,3.0,11792.452830188678,55.0,79,appartement,0.3666666666666667,,,,,
75109,2020.0,4.0,12037.748567576677,48.5,56,appartement,0.10000000000000002,,,,,
75109,2021.0,1.0,11338.028169014084,49.0,147,appartement,1.0,,,,,
75109,2021.0,2.0,11553.73076923077,49.5,166,appartement,1.7666666666666666,,,,,
75109,2021.0,3.0,11363.636363636364,49.0,157,appartement,2.1999999999999997,,,,,
75109,2021.0,4.0,11490.833333333332,50.0,112,appartement,3.3333333333333335,,,,,
75109,2022.0,1.0,11214.285714285714,44.0,131,appartement,4.2,,,,,
75109,2022.0,2.0,11465.890481651375,49.5,134,appartement,5.8999999999999995,,,,,
75109,2022.0,3.0,11837.719298245614,48.0,172,appartement,6.533333333333334,,,,,
75109,2022.0,4.0,11118.677042801557,48.0,141,appartement,6.966666666666666,,,,,
75109,2023.0,1.0,11361.111111111111,45.0,76,appartement,7.0,,,,,
75109,2023.0,2.0,11101.87908496732,43.5,124,appartement,6.066666666666666,,,,,
75109,2023.0,3.0,10972.972972972973,55.0,120,appartement,5.5,,,,,
75109,2023.0,4.0,11339.285714285714,44.0,127,appartement,4.166666666666667,,,,,
75109,2024.0,1.0,10292.682926829268,47.0,99,appartement,3.0,,,,,
75109,2024.0,2.0,10000.0,41.0,127,appartement,2.5,,,,,
75109,2024.0,3.0,10182.076923076922,48.5,92,appartement,2.1,,,,,
75109,2024.0,4.0,10633.336436170212,43.0,120,appartement,1.7,,,,,
75109,2025.0,1.0,10885.416666666666,44.0,21,appartement,1.2,,,,,
75109,2025.0,2.0,10733.733333333334,44.0,66,appartement,0.7999999999999999,,,,,
75109,2025.0,3.0,10666.666666666666,40.0,42,appartement,0.8500000000000001,,,,,
75109,2025.0,4.0,10344.827586206897,46.0,47,appartement,,,,,,
75110,2020.0,1.0,10812.5,38.0,89,appartement,1.3666666666666665,,,,,
75110,2020.0,2.0,10611.8954248366,38.5,80,appartement,0.3333333333333333,,,,,
75110,2020.0,3.0,10159.52380952381,43.5,102,appartement,0.3666666666666667,,,,,
75110,2020.0,4.0,10428.571428571428,39.5,74,appartement,0.10000000000000002,,,,,
75110,2021.0,1.0,10486.928104575163,42.5,196,appartement,1.0,,,,,
75110,2021.0,2.0,9449.137931034482,44.0,276,appartement,1.7666666666666666,,,,,
75110,2021.0,3.0,10717.948717948719,46.0,225,appartement,2.1999999999999997,,,,,
75110,2021.0,4.0,10078.89237199582,40.0,194,appartement,3.3333333333333335,,,,,
75110,2022.0,1.0,10468.953538862354,41.0,182,appartement,4.2,,,,,
75110,2022.0,2.0,10237.5,43.0,207,appartement,5.8999999999999995,,,,,
75110,2022.0,3.0,10181.878306878307,40.0,246,appartement,6.533333333333334,,,,,
75110,2022.0,4.0,10794.736842105263,41.0,206,appartement,6.966666666666666,,,,,
75110,2023.0,1.0,10000.0,41.0,147,appartement,7.0,,,,,
75110,2023.0,2.0,10258.205128205129,41.0,186,appartement,6.066666666666666,,,,,
75110,2023.0,3.0,9590.697674418605,38.0,169,appartement,5.5,,,,,
75110,2023.0,4.0,8964.125431530494,48.0,230,appartement,4.166666666666667,,,,,
75110,2024.0,1.0,9107.142857142857,37.0,133,appartement,3.0,,,,,
75110,2024.0,2.0,9054.894179894181,35.0,178,appartement,2.5,,,,,
75110,2024.0,3.0,8653.59261700725,35.0,146,appartement,2.1,,,,,
75110,2024.0,4.0,8831.521739130436,40.0,146,appartement,1.7,,,,,
75110,2025.0,1.0,10083.333333333334,36.0,31,appartement,1.2,,,,,
75110,2025.0,2.0,6102.5641025641025,37.0,99,appartement,0.7999999999999999,,,,,
75110,2025.0,3.0,8512.820512820514,32.0,47,appartement,0.8500000000000001,,,,,
75110,2025.0,4.0,9420.289132602193,32.5,58,appartement,,,,,,
75111,2020.0,1.0,11178.948692152917,40.5,164,appartement,1.3666666666666665,,,,,
75111,2020.0,2.0,10970.253968253968,35.0,106,appartement,0.3333333333333333,,,,,
75111,2020.0,3.0,10909.09090909091,37.0,125,appartement,0.3666666666666667,,,,,
75111,2020.0,4.0,11136.363636363636,35.0,105,appartement,0.10000000000000002,,,,,
75111,2021.0,1.0,10925.360144057624,38.0,320,appartement,1.0,,,,,
75111,2021.0,2.0,10942.434210526317,38.0,286,appartement,1.7666666666666666,,,,,
